Gene.Name,Presence.,Bigg.ID.Name,essential,beta,zscore,p.value,fdr
TXNRD2,TRUE,10587_AT1,1,-0.036246,-0.46968,0.036416,0.094206
TYMP,TRUE,1890_AT1,1,-0.038117,-0.63232,0.032849,0.086747
TYMS,TRUE,7298_AT1,0,0.070416,0.82048,0.7679,0.85522
TYR,TRUE,7299_AT1,0,-0.013532,-0.18174,0.11754,0.23377
TYRP1,TRUE,7306_AT1,0,0.10404,1.216,0.37412,0.54436
UAP1,TRUE,6675_AT1,0,-0.004169,-0.053621,0.18167,0.32898
UAP1L1,TRUE,91373_AT1,0,0.112,1.2391,0.309,0.47327
UCK1,TRUE,83549_AT1,0,0.063219,1.0266,0.8774,0.92618
UCK2,TRUE,7371_AT1,0,-0.0080874,-0.067897,0.14873,0.27885
UCKL1,TRUE,54963_AT1,1,-0.037176,-0.49126,0.034757,0.091087
UCP1,TRUE,7350_AT1,1,-0.052182,-0.74247,0.012858,0.040789
UCP2,TRUE,7351_AT1,0,0.071322,1.0322,0.75396,0.8451
UCP3,TRUE,7352_AT1,0,0.011141,0.23153,0.32236,0.48655
UGCG,TRUE,7357_AT1,0,0.043947,0.55847,0.80324,0.88632
UGGT1,TRUE,56886_AT1,1,-0.1656,-1.7997,0,0
UGGT2,TRUE,55757_AT1,0,-0.018418,-0.20854,0.092576,0.19341
UGP2,TRUE,7360_AT1,0,0.071584,0.78929,0.75131,0.84367
UGT1A1,TRUE,54658_AT1,0,0.01722,0.40448,0.39652,0.56568
UGT1A3,TRUE,54659_AT1,0,0.025361,0.90242,0.50875,0.66834
UGT1A4,TRUE,54657_AT1,0,0.02395,0.86578,0.48743,0.6518
UGT1A6,TRUE,54578_AT1,0,0.025984,0.94071,0.51713,0.67551
UGT1A8,TRUE,54576_AT1,0,0.017353,0.63833,0.39818,0.56704
UGT1A9,TRUE,54600_AT1,0,0.018906,0.69739,0.4185,0.58697
UGT2B15,TRUE,7366_AT1,1,-0.068381,-1.0027,0.0032352,0.012361
UGT2B4,TRUE,7363_AT1,1,-0.060251,-1.1056,0.0064703,0.022576
UGT8,TRUE,7368_AT1,0,0.030798,0.45819,0.59585,0.73637
UMPS,TRUE,7372_AT1,1,-0.063074,-0.77864,0.0047283,0.01699
UPB1,TRUE,51733_AT1,0,0.03552,0.49526,0.66611,0.78892
UPP1,TRUE,7378_AT1,1,-0.13536,-1.7857,0,0
UPP2,TRUE,151531_AT1,0,0.035234,0.30856,0.66139,0.78659
UPRT,TRUE,139596_AT1,0,0.065045,0.58548,0.84745,0.90567
UQCR10,TRUE,29796_AT1,0,0.0049732,0.048767,0.26014,0.42136
UQCR11,TRUE,10975_AT1,0,0.077897,0.75398,0.66794,0.78923
UQCRB,TRUE,7381_AT1,1,-0.39559,-4.1549,0,0
UQCRC1,TRUE,7384_AT1,1,-0.15837,-2.1228,0,0
UQCRC2,TRUE,7385_AT1,0,0.012776,0.090858,0.34309,0.50929
UQCRFS1,TRUE,7386_AT1,1,-0.45391,-3.9588,0,0
UQCRH,TRUE,7388_AT1,1,-0.38678,-3.9055,0,0
UROD,TRUE,7389_AT1,1,-0.26606,-2.9078,0,0
UROS,TRUE,7390_AT1,1,-0.12686,-1.7714,0,0
WWOX,TRUE,51741_AT1,1,-0.072429,-0.95132,0.0025715,0.010368
XDH,TRUE,7498_AT1,0,0.030918,0.48768,0.59859,0.73821
XYLB,TRUE,9942_AT1,0,-0.024406,-0.42204,0.071008,0.15808
ZADH2,TRUE,284273_AT1,0,0.071946,0.93651,0.74625,0.84188
